의안ID,의안번호,법안명,카테고리,제안자,대표발의자,제안일,소관위원회,처리상태,처리단계,처리결과,상임위회부일,상임위처리일,상임위결과,법사위회부일,법사위처리일,법사위결과,상태변경,상세링크,AI요약,최종수집일
PRC_T2U6S0R8S2Q5Y1Y4X2V4W1U0Q0R8Q2,2220916,자동차손해배상 보장법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 14인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2U6S0R8S2Q5Y1Y4X2V4W1U0Q0R8Q2,"자동차손해배상진흥원이 경상환자에게 장기치료 검토 결과를 통지할 때, 환자가 이의를 제기할 수 있도록 구체적인 이유와 절차를 함께 안내하도록 합니다.",2026-08-30 09:18
PRC_X2W6U0U8T2U8P1O1O0N8O5M1M6U0T1,2220915,첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률 일부개정법률안,배정 안됨,"이수진의원(민주당, 초선, 서울 동작구을) 등 11인",이수진,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2W6U0U8T2U8P1O1O0N8O5M1M6U0T1,재생의료기관의 지정 오용과 거짓 광고를 막기 위해 지정 후 일정 기간 내 임상연구 계획 제출을 의무화하고 3년마다 재지정을 받도록 합니다.,2026-08-30 09:18
PRC_X2X6W0X8V2V8D1C3C3A6B5A5A4I6H5,2220914,소득세법 일부개정법률안,배정 안됨,"김상훈의원(국민의힘(前 통합당), 4선, 대구 서구) 등 12인",김상훈,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2X6W0X8V2V8D1C3C3A6B5A5A4I6H5,가상자산 소득에 대한 과세 시기를 과세 인프라 정비 등을 이유로 2027년에서 2029년으로 2년간 유예합니다.,2026-08-30 09:18
PRC_W2W6F0F8D2E1D0B9B5X9X2W7X6V2T0,2220913,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,배정 안됨,"차규근의원(조국혁신당, 초선, 비례대표) 등 10인",차규근,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2W6F0F8D2E1D0B9B5X9X2W7X6V2T0,전통시장 내 공공성이 큰 공동시설과 고객편의시설의 전기·수도 등 유지·관리비를 정부와 지자체가 지원할 수 있도록 합니다.,2026-08-30 09:18
PRC_B2C6I0H8I2G8G1F2G5N7O1M2L9L6J0,2220912,인사청문회법 일부개정법률안,배정 안됨,"이상식의원(민주당, 초선, 경기 용인시갑) 등 11인",이상식,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2C6I0H8I2G8G1F2G5N7O1M2L9L6J0,국가수사본부장 임명 시 국회의 인사청문을 거치도록 하여 수사 권력에 대한 민주적 통제와 검증을 강화합니다.,2026-08-30 09:18
PRC_M2N6L0M8K2K8J1R2R5Q5Q4P5P9O0O0,2220911,국가경찰과 자치경찰의 조직 및 운영에 관한 법률 일부개정법률안,배정 안됨,"이상식의원(민주당, 초선, 경기 용인시갑) 등 11인",이상식,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2N6L0M8K2K8J1R2R5Q5Q4P5P9O0O0,국가수사본부장을 임명할 때 국회의 인사청문을 필수로 거치도록 하여 수사 권력의 정치적 중립성과 공정성을 확보합니다.,2026-08-30 09:18
PRC_N2L6T0U8S2T8R1S2Q5R6N3L6L7J3L1,2220910,국회법 일부개정법률안,배정 안됨,"이상식의원(민주당, 초선, 경기 용인시갑) 등 11인",이상식,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2L6T0U8S2T8R1S2Q5R6N3L6L7J3L1,국가수사본부장에 대한 국회 인사청문회를 실시할 수 있도록 관련 절차를 정비합니다.,2026-08-30 09:18
PRC_W2W6V0D7D1B6C1B1B1Z4H1I9H1H7F7,2220909,조세특례제한법 일부개정법률안,배정 안됨,"유의동의원(국민의힘(前 통합당), 4선, 경기 평택시을) 등 12인",유의동,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2W6V0D7D1B6C1B1B1Z4H1I9H1H7F7,주한미군 주거 지원을 위해 공여구역 주변에 임대주택을 공급하는 법인 소유 주택에 대해 2029년까지 종합부동산세 합산 대상에서 제외합니다.,2026-08-30 09:18
PRC_C2J6K0I8J2H1G1G1O1P5N4N2M2K7L0,2220908,조세특례제한법 일부개정법률안,배정 안됨,"김은혜의원(국민의힘(前 통합당), 재선, 경기 성남시분당구을) 등 10인",김은혜,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2J6K0I8J2H1G1G1O1P5N4N2M2K7L0,벤처기업의 성과조건부주식 교부 이익에 대해 일정 금액 비과세 및 5년간 분할납부 특례를 적용하여 우수 인재 확보를 지원합니다.,2026-08-30 09:18
PRC_E2C6C0L8L2J5K1I4H2H2P4Q1O1P9N2,2220907,소득세법 일부개정법률안,배정 안됨,"이용우의원(민주당, 초선, 인천 서구을) 등 11인",이용우,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2C6C0L8L2J5K1I4H2H2P4Q1O1P9N2,근로자의 출산 후 2년 이내에만 적용되던 출산 관련 급여 비과세 혜택을 임신 확인 시점부터 지급받은 급여로 확대합니다.,2026-08-30 09:18
PRC_S2Q6R0P7P0O7P1W5X1V7U5U2S4T3B4,2220906,생활물류서비스산업발전법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 10인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2Q6R0P7P0O7P1W5X1V7U5U2S4T3B4,"소화물배송대행서비스에 개인형 이동장치를 추가하고, 사업자가 종사자의 인명보호 장구 착용 여부를 사전에 확인하도록 의무화합니다.",2026-08-30 09:18
PRC_B2Z6A0Y8Z2O5O1M6L5M1K3L3S2T2R1,2220905,산업안전보건법 일부개정법률안,배정 안됨,"이용우의원(민주당, 초선, 인천 서구을) 등 10인",이용우,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2Z6A0Y8Z2O5O1M6L5M1K3L3S2T2R1,사업주가 고객응대근로자의 폭언·폭행 피해를 예방하기 위한 조치를 하지 않을 경우 500만원 이하의 과태료를 부과합니다.,2026-08-30 09:18
PRC_R2S6Q0R8P2X5Y1W6W4V7F4D5E1A5A1,2220904,자동차관리법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 13인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2S6Q0R8P2X5Y1W6W4V7F4D5E1A5A1,자동차안전도평가 항목에 페달 오조작 방지장치의 장착 여부와 작동 성능 평가를 명시하여 사고 예방 기술 개발을 촉진합니다.,2026-08-30 09:18
PRC_F2G6E0T8U2S5T1R6S4Q4Y5Y1X4Y4W2,2220903,건설산업기본법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 12인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2G6E0T8U2S5T1R6S4Q4Y5Y1X4Y4W2,하수급인이 임금이나 자재대금을 체불한 경우 수급인의 책임이 없는 한 발주자가 하도급대금을 직접 지급하지 않도록 의무화합니다.,2026-08-30 09:18
PRC_K2I6I0Q8R2P8O1O4M2N0V3W4U9S7T0,2220902,국민연금법 일부개정법률안,배정 안됨,"주호영의원(국민의힘(前 통합당), 6선, 대구 수성구갑) 등 13인",주호영,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2I6I0Q8R2P8O1O4M2N0V3W4U9S7T0,외국인 가입자가 국민연금 가입기간 부족분을 임의로 채우는 추후 납부 제도를 악용하지 못하도록 외국인의 추납을 제한합니다.,2026-08-30 09:18
PRC_X2V6W0U8T2T6B1C6A2B9Z2Z5Y5U3U1,2220901,주거기본법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 10인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2V6W0U8T2T6B1C6A2B9Z2Z5Y5U3U1,도심 내 1인 가구 소형주택에 대한 최저주거기준 예외 규정을 삭제하여 모든 가구에게 최소한의 주거 환경을 보장합니다.,2026-08-30 09:18
PRC_I2Q6R0P8P1N8O1N0V5V7T4U6S4T9R1,2220900,국립대학병원 설치법 일부개정법률안,배정 안됨,"박용갑의원(민주당, 초선, 대전 중구) 등 12인",박용갑,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Q6R0P8P1N8O1N0V5V7T4U6S4T9R1,국립대학병원의 공공의료 역량을 강화하기 위해 5년마다 종합계획을 수립하고 시설 지원과 병상총량제 특례를 도입합니다.,2026-08-30 09:18
PRC_J2H6P0Q8O2P6N1O6M2M8V3T0T2S2T1,2220899,전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 11인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H6P0Q8O2P6N1O6M2M8V3T0T2S2T1,지자체가 전세사기피해주택의 안전관리와 피해 복구 조치를 할 때 국가가 비용의 일부를 보조할 수 있도록 근거를 마련합니다.,2026-08-30 09:18
PRC_V2T6U0S8A0B7Z1A1Y2Z8X5F1G2E0E5,2220898,아동수당법 일부개정법률안,배정 안됨,"이수진의원(민주당, 초선, 서울 동작구을) 등 13인",이수진,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T6U0S8A0B7Z1A1Y2Z8X5F1G2E0E5,출생아동의 첫만남이용권 지급을 신청주의에서 당연지급으로 바꾸어 아동양육 지원의 국가 책임을 강화합니다.,2026-08-30 09:18
PRC_I2I6G0H8F2G6O1O6M2N7M2K7K2G7H8,2220897,장기공공임대주택 입주자 삶의 질 향상 지원법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 13인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2I6G0H8F2G6O1O6M2N7M2K7K2G7H8,장기공공임대주택 실태조사 결과를 기본 및 시행계획에 의무적으로 반영하게 하여 주거환경 개선 정책의 실효성을 높입니다.,2026-08-30 09:18
PRC_P2P6X0Y8W1V8V1T5U5C2C2B3Z3A6Y2,2220896,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,배정 안됨,"윤건영의원(민주당, 재선, 서울 구로구을) 등 13인",윤건영,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2P6X0Y8W1V8V1T5U5C2C2B3Z3A6Y2,가축 살처분이나 동물 인도적 처리에 동원된 수의사도 외상 후 스트레스 장애에 대한 심리지원을 받을 수 있도록 대상에 포함합니다.,2026-08-30 09:18
PRC_B2Z6H0I8G2H6F1E6E2T6U0S0S4R4P8,2220895,건축법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 12인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2Z6H0I8G2H6F1E6E2T6U0S0S4R4P8,영유아 추락 사고를 막기 위해 2층 이상의 돌출 바닥 구조물에 1.2미터 이상의 난간 설치를 의무화하고 안전 모니터링 대상에 포함합니다.,2026-08-30 09:18
