구분,id,사건명,사건번호,날짜,기관법원,사건종류,AI요약,과징금,형량,원심참조,상세링크,조치유형
의결서,19377,씨제이대한통운(주)의 불공정하도급거래행위에 대한 건 관련 이의신청에 대한 건,2026소심1588,2026.8.11.,공정거래위원회,,"서면 발급의무 위반 및 부당특약 설정 행위에 대해 향후 행위금지명령, 과징금 납부명령 및 수정·삭제명령 부과됨","6억 1,200만원",,원심결공정거래위원회 2026. 5. 6. 제3소회의 의결 제2026-087호,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19377&type=HTML,
의결서,19343,상호출자제한기업집단 「삼성」 소속 삼성증권㈜의 의결권 제한규정 위반행위에 대한 건,2026집단0262,2026.7.8.,공정거래위원회,,삼성증권이 상호출자제한기업집단 소속 금융사로서 계열회사 주식에 대해 의결권을 제한받음에도 주주총회에서 의결권을 행사하여 법 위반함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19343&type=HTML,
의결서,19325,상호출자제한기업집단 「효성」 소속 그린파워제팔차(유)의 의결권 제한규정 위반행위에 대한 건,2026집단0264,2026.7.8.,공정거래위원회,,상호출자제한기업집단 '효성' 소속 금융·보험사인 그린파워제팔차(유)가 계열회사 주식에 대해 의결권을 행사하여 법상 의결권 제한 규정을 위반함.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19325&type=HTML,
의결서,19341,상호출자제한기업집단 「한화」 소속 한화자산운용㈜의 의결권 제한규정 위반행위에 대한 건,2026집단0263,2026.7.8.,공정거래위원회,,상호출자제한기업집단 한화 소속 금융사 한화자산운용이 계열회사 주식에 대해 의결권을 제한규정을 위반하여 행사함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19341&type=HTML,
의결서,19317,7개 밀가루 제조ㆍ판매 사업자의 부당한 공동행위에 대한 건,2025제카1867,2026.7.6.,공정거래위원회,,7개 밀가루 제조ㆍ판매 사업자의 부당한 공동행위(담합)와 관련된 기초사실 및 시장 현황을 다룸,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19317&type=HTML,
의결서,19381,주식회사 농협하나로유통의 대규모유통업법 위반행위에 대한 건,2024유대1737,2026.7.31.,공정거래위원회,,주식회사 농협하나로유통이 납품업자 및 임차인과 계약을 체결하면서 계약사항이 명시된 서면을 즉시 교부하지 아니하여 대규모유통업법을 위반함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19381&type=HTML,
의결서,19289,㈜에이디티의 불공정하도급거래행위에 대한 건 관련 이의신청에 대한 건,2026기심1144,2026.7.29.,공정거래위원회,,"원사업자가 기술자료 요구 시 서면 미교부, 비밀유지계약 미체결 및 부당한 특약(기술자료 권리 이전 등)을 설정하여 향후 재발방지명령 및 과징금 부과처분 받음",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19289&type=HTML,
의결서,19299,그랑몬스터(주)의 불공정하도급거래행위에 대한 건,2025신하0954,2026.7.24.,공정거래위원회,,피심인이 수급사업자들에게 영상광고 제작·편집 용역을 위탁하면서 하도급대금 등을 기재한 서면을 발급하지 않거나 지연 발급함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19299&type=HTML,
의결서,19309,㈜시티건설의 불공정하도급거래행위에 대한 건 관련 이의신청에 대한 건,2026기심1437,2026.7.24.,공정거래위원회,,"시티건설의 서면 발급의무 위반, 현금 결제비율 유지의무 위반, 어음할인료 미지급 행위에 대하여 향후 재발방지명령, 과징금 38백만 원 납부명령, 경고 처분이 부과됨","3,800만원",,원심결공정거래위원회 2026. 5. 11. 제2소회의 의결 제2026-090호,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19309&type=HTML,
의결서,19355,모두펫그룹(주)의 할부거래법 위반행위에 대한 건,2025약특1851,2026.7.23.,공정거래위원회,,모두펫그룹(주)이 선불식 할부계약 해제에 따른 해약환급금 및 지연배상금을 미지급하여 행위금지명령 및 미지급 해약환급금과 지연배상금 지급명령 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19355&type=HTML,
의결서,19353,㈜비에스비푸드의 가맹사업법 위반행위에 대한 건,"2024가조0512, 2024서가0707",2026.7.22.,공정거래위원회,,가맹본부가 가맹점사업자에게 배달비 '0원' 정책을 강제하고 이를 준수하도록 구속한 행위가 가격 구속행위에 해당함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19353&type=HTML,
의결서,19361,24개 사업자 발주 플라스틱 파렛트 입찰 관련 20개 사업자의 부당한 공동행위에 대한 건 관련 ㈜이건그린텍의 이의신청에 대한 건,2026경심1357,2026.7.22.,공정거래위원회,,플라스틱 파렛트 구매 입찰 관련 부당한 공동행위에 가담한 ㈜이건그린텍의 과징금 납부명령 등 부과처분 이의신청이 기각됨,"10억 4,800만 원",,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19361&type=HTML,
의결서,19359,24개 사업자 발주 플라스틱 파렛트 입찰 관련 20개 사업자의 부당한 공동행위에 대한 건 관련 한국프라스틱㈜의 이의신청에 대한 건,2026경심1358,2026.7.22.,공정거래위원회,,한국프라스틱㈜이 플라스틱 파렛트 입찰 관련 부당한 공동행위에 대해 공정거래위원회의 시정명령 및 과징금 부과처분에 불복하여 이의신청을 제기하였으나 기각됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19359&type=HTML,
의결서,19339,(주)세라젬의 불공정하도급거래행위에 대한 건,2024기조1171,2026.7.22.,공정거래위원회,,(주)세라젬이 수급사업자에게 정당한 사유 없이 금형도면을 요구하여 제공받은 행위에 대해 하도급법 위반으로 심의됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19339&type=HTML,
의결서,19375,㈜엘에프네트웍스의 대규모유통업법 위반행위에 대한 건,2025서가0007,2026.7.20.,공정거래위원회,,"㈜엘에프네트웍스의 대규모유통업법 위반행위에 대한 기초사실 및 일반현황, 시장구조 등을 다룸",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19375&type=HTML,
의결서,19351,(주)스위트바이오의 불공정하도급거래행위에 대한 건,2024전사2113,2026.7.20.,공정거래위원회,,원사업자가 수급사업자로부터 미니잼 제조 목적물을 수령하고도 60일 이내에 하도급대금을 지급하지 않아 향후 금지명령이 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19351&type=HTML,시정명령
