법령명,법령약칭,법령구분,조문,유형,개정일,위반요건,형벌_징역,형벌_벌금,과태료,과징금,산정기준별표,산정기준상세,최종수집일
할부거래에 관한 법률,할부거래법,법률,제50조(벌칙),벌칙(형사처벌),20270909,"제50조(벌칙) ① 다음 각 호의 어느 하나에 해당하는 자는 1년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. <개정 2015.7.24, 2026.9.8> 1. 제27조제11항을 위반하여 소비자피해보상보험계약등을 체결 또는 유지함에 있어 거짓으로 선수금 등의 자료를 제출한 자 2. 제34조제1호부터 제3호까지, 제8호ㆍ제9호ㆍ제12호 및 제14호부터 제16호까지에 해당하는 금지행위를 한 자 ② 제1항의 징역형과 벌금형은 병과할 수 있다.",1년 이하의 징역,3천만원 이하의 벌금,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제47조의3(벌칙),벌칙(형사처벌),20270909,제47조의3(벌칙) 제27조의4제5항을 위반하여 같은 조 제4항에 따라 제공받은 소비자에 관한 자료 또는 정보를 목적 외의 용도로 사용한 자는 5년 이하의 징역 또는 5천만원 이하의 벌금에 처한다.,5년 이하의 징역,5천만원 이하의 벌금,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제42조(과징금),과징금,20270909,제42조(과징금) ① 공정거래위원회는 제40조제1항에 따라 영업정지를 명하여야 할 경우로서 영업정지가 소비자에게 심한 불편을 주거나 공익을 해할 우려가 있으면 영업정지를 갈음하여 해당 선불식 할부거래업자에 대하여 대통령령으로 정하는 위반행위 관련 매출액을 초과하지 아니하는 범위에서 과징금을 부과할 수 있다. 이 경우 관련 매출액이 없거나 이를 산정할 수 없는 경우 등에는 5천만원을 초과하지 아니하는 범위에서 과징금을 부과할 수 있다. ② 공정거래위원회는 제1항에 따른 과징금을 부과할 때 다음 각 호의 사항을 고려하여야 한다. 1. 위반행위로 인한 소비자 피해정도 2. 소비자피해에 대한 선불식 할부거래업자의 보상노력 정도 3. 위반행위로 인하여 취득한 이익의 규모 4. 위반행위의 내용ㆍ기간 및 횟수 등 ③ 공정거래위원회는 이 법을 위반한 선불식 할부거래업자인 회사의 합병이 있는 경우에는 그 회사가 행한 위반행위를 합병 후 존속하거나 합병으로 새로 설립된 회사가 한 행위로 보아 과징금을 부과ㆍ징수할 수 있다. ④ 삭제 <2023.3.21> ⑤ 제1항에 따른 과징금의 부과기준은 대통령령으로 정한다.,,,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제54조(과태료에 관한 규정 적용의 특례),과태료,20270909,제54조(과태료에 관한 규정 적용의 특례) 제53조의 과태료에 관한 규정을 적용할 때 제42조에 따라 과징금을 부과한 행위에 대해서는 과태료를 부과할 수 없다.,,,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제53조(과태료),과태료,20270909,"제53조(과태료) ① 다음 각 호의 어느 하나에 해당하는 자에게는 5천만원 이하의 과태료를 부과한다. <개정 2015.7.24, 2023.3.21> 1. 제18조제3항 또는 제5항에 따른 신고를 거짓으로 한 자 1의2. 제18조의2제1항을 위반하여 감사인이 작성하지 아니한 회계감사 보고서를 제출한 자 2. 제22조제1항 또는 제22조의2제7항에 따른 신고를 거짓으로 한 자 3. 제47조제2항에 따라 준용되는 「독점규제 및 공정거래에 관한 법률」 제81조제2항에 따른 조사를 거부ㆍ방해하거나 기피한 자 ② 다음 각 호의 어느 하나에 해당하는 자에게는 3천만원 이하의 과태료를 부과한다. <개정 2015.7.24, 2023.3.21, 2026.9.8> 1. 제18조제3항 또는 제5항에 따른 신고를 하지 아니한 자 2. 제18조제7항을 위반하여 자료를 제출하지 아니하거나 거짓 자료를 제출한 자 3. 제18조의2제1항에 따른 회계감사 보고서를 제출하지 아니한 자 3의2. 제18조의2제2항을 위반하여 감사인이 작성하지 아니한 회계감사 보고서를 공시한 자 4. 제22조제1항 또는 제22조의2제7항에 따른 신고를 하지 아니한 자 5. 거짓이나 그 밖의 부정한 방법으로 제22조의2제2항에 따른 설명을 하거나 동의를 받은 자 6. 모집인이 제23조제1항 또는 제2항을 위반한 경우 해당 선불식 할부거래업자. 다만, 선불식 할부거래업자가 그 위반행위를 막기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다. 7. 거짓이나 그 밖의 부정한 방법으로 제23조제1항, 제2항 또는 제4항에 따른 설명을 하거나 확인을 받은 자 8. 거짓이나 그 밖의 부정한 방법으로 제23조제3항ㆍ제4항에 따른 계약서를 발급한 자 9. 제27조제13항에 따른 서류를 제출하지 아니한 자 10. 제33조제1항에 따라 보존하거나 소비자의 열람에 제공하는 거래기록등을 거짓으로 작성한 자 10의2. 제34조의2제3항을 위반하여 재적임원 전원의 찬성을 받지 아니하거나 이사회의 의결을 거치지 아니한 자 10의3. 제34조의2제5항 또는 같은 조 제6항을 위반하여 보고를 하지 아니한 자 또는 주요 내용을 누락하거나 거짓으로 보고를 한 자 10의4. 제35조의2제2항을 위반하여 자료를 제출하지 아니하거나 거짓으로 자료를 제출한 자 11. 제47조제2항에 따라 준용되는 「독점규제 및 공정거래에 관한 법률」 제81조제1항제1호를 위반하여 정당한 사유 없이 출석하지 아니한 자 12. 제47조제2항에 따라 준용되는 「독점규제 및 공정거래에 관한 법률」 제81조제1항제3호 또는 같은 조 제6항에 따른 보고 또는 제출을 하지 아니하거나 거짓으로 보고 또는 제출을 한 자 ③ 제31조제4항에 따른 징계ㆍ해임 요구 또는 시정명령을 따르지 아니한 자에게는 2천만원 이하의 과태료를 부과한다. <신설 2026.9.8> ④ 다음 각 호의 어느 하나에 해당하는 자에게는 1천만원 이하의 과태료를 부과한다. <개정 2015.7.24, 2020.12.29, 2023.3.21, 2026.9.8> 1. 제18조의2제2항에 따라 회계감사 보고서를 공시하지 아니한 자 2. 제22조제2항 및 제22조의2제1항에 따른 공고를 하지 아니하거나 거짓으로 공고한 자 3. 제22조의2제2항 또는 제3항을 위반한 자 4. 제22조의2제6항을 위반하여 자료를 보존하지 아니한 자 5. 제23조제1항 또는 제2항을 위반하여 설명 또는 확인을 받지 아니한 자 6. 제23조제3항 또는 제4항에 따른 계약서를 발급하지 아니한 자 7. 제23조제5항 및 제32조제2항을 위반하여 대통령령으로 정하는 사항을 소비자에게 알리지 아니한 자 8. 제24조제5항을 위반하여 계약금, 할부금 또는 지연배상금을 환급하지 아니한 자 9. 제25조를 위반하여 대금 또는 지연배상금을 환급하지 아니하거나 과다한 위약금을 청구한 자 9의2. 제27조의2제1항을 위반하여 총리령으로 정하는 내용을 소비자에게 통지하지 아니하거나 거짓으로 통지한 자 10. 제32조제1항을 위반하여 휴업기간 또는 영업정지기간 중에 청약의 철회 등에 관한 업무를 계속하지 아니한 자 11. 제33조제1항을 위반하여 거래기록등을 보존하지 아니하거나 소비자가 열람할 수 있도록 하지 아니한 자 12. 삭제<2023.3.21> 13. 삭제<2023.3.21> 14. 삭제<2023.3.21> ⑤ 다음 각 호의 어느 하나에 해당하는 자(간접할부계약의 경우 신용제공자를 포함한다)에게는 500만원 이하의 과태료를 부과한다. <개정 2026.9.8> 1. 제5조를 위반하여 표시를 하지 아니하거나 거짓 표시를 한 자 2. 제6조제2항에 따른 계약서를 발급하지 아니하거나 거짓으로 적은 계약서를 발급한 자 3. 제6조제3항에 따른 서면을 발급하지 아니한 자 4. 제7조에 따른 할부수수료의 실제연간요율의 최고한도를 위반하여 할부수수료를 받은 자 5. 제10조를 위반하여 계약금, 할부금 또는 지연배상금을 환급하지 아니하거나 환급에 필요한 조치를 취하지 아니한 자 6. 제10조제8항 또는 제16조제7항을 위반하여 소비자에게 불이익을 주는 행위를 한 자 7. 제12조제1항에 따른 지연손해금 산정 시 적용하는 이율의 최고한도를 위반하여 지연손해금을 받은 자 8. 제17조를 위반하여 휴업기간 또는 영업정지기간 중에 청약의 철회에 관한 업무를 계속하지 아니한 자 ⑥ 제47조제1항에 따라 준용되는 「독점규제 및 공정거래에 관한 법률」 제66조에 따른 질서유지명령에 따르지 아니한 자에게는 100만원 이하의 과태료를 부과한다. <개정 2020.12.29, 2026.9.8> ⑦ 제1항부터 제4항까지 및 제6항에 따른 과태료는 공정거래위원회, 시ㆍ도지사 또는 시장ㆍ군수ㆍ구청장이 부과ㆍ징수한다. <개정 2026.9.8> ⑧ 제5항에 따른 과태료는 특별자치도지사ㆍ특별자치시장 또는 시장ㆍ군수ㆍ구청장이 부과ㆍ징수한다. <개정 2023.3.21, 2026.9.8> ⑨ 제1항부터 제6항까지에 따른 과태료의 부과기준은 대통령령으로 정한다. <개정 2026.9.8>",,,5천만원 이하의 과태료 / 3천만원 이하의 과태료 / 2천만원 이하의 과태료 / 1천만원 이하의 과태료 / 500만원 이하의 과태료 / 100만원 이하의 과태료,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제52조(양벌규정),양벌규정,20270909,"제52조(양벌규정) 법인의 대표자나 법인 또는 개인의 대리인, 사용인, 그 밖의 종업원이 그 법인 또는 개인의 업무에 관하여 제48조, 제50조 또는 제51조의 위반행위를 하면 그 행위자를 벌하는 외에 그 법인 또는 개인에게도 해당 조문의 벌금형을 과(科)한다. 다만, 법인 또는 개인이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",,,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제51조(벌칙),벌칙(형사처벌),20270909,제51조(벌칙) 다음 각 호의 어느 하나에 해당하는 자는 1천만원 이하의 벌금에 처한다. <개정 2015.7.24> 1. 제34조제5호의 금지행위를 한 자 2. 제34조제11호의 금지행위를 한 자,,1천만원 이하의 벌금,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제47조의2(벌칙 적용에서 공무원 의제),벌칙(형사처벌),20270909,제47조의2(벌칙 적용에서 공무원 의제) 다음 각 호의 어느 하나에 해당하는 사람은 「형법」 제129조부터 제132조까지를 적용할 때에는 공무원으로 본다. 1. 제27조의4제6항에 따라 선불식 할부거래 정보시스템의 운영 업무를 담당하는 기관 또는 단체의 임직원 2. 제35조제6항에 따라 같은 조 제1항의 조사 업무를 담당하는 한국소비자원의 임직원 3. 제39조의2제3항에 따라 제35조제1항의 조사 업무를 담당하는 금융감독원의 임직원 4. 제46조제1항 또는 제2항에 따라 사무를 위탁받은 한국소비자원 및 사업자단체의 임직원,,,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제49조(벌칙),벌칙(형사처벌),20270909,"제49조(벌칙) 제47조제5항에 따라 준용되는 「독점규제 및 공정거래에 관한 법률」 제119조를 위반한 자는 2년 이하의 징역 또는 200만원 이하의 벌금에 처한다. <개정 2020.12.29, 2023.3.21>",2년 이하의 징역,200만원 이하의 벌금,,,,,2026-09-26 06:25
할부거래에 관한 법률,할부거래법,법률,제48조의2(벌칙),벌칙(형사처벌),20270909,제48조의2(벌칙) 제27조의4제5항을 위반하여 같은 조 제4항에 따라 제공받은 소비자에 관한 자료 또는 정보를 목적 외의 용도로 조회한 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다.,3년 이하의 징역,3천만원 이하의 벌금,,,,,2026-09-26 06:25
