의원명,제목,언론사,링크,발행일,요약,관련보도수
김석기,대정부질문 이틀차…호르무즈·대미투자·3軍 사관학교 통합 등 여야 격...,news1.kr,https://www.news1.kr/politics/assembly/6285250,2026-09-10,대정부질문 질의자로 참석,1
강선영,"野 강선영 ""與, 군대 안 갔다와 국방에 무지""…한성숙 ""애국심 없지 않...",news.tvchosun.com,https://news.tvchosun.com/site/data/html_dir/2026/09/10/2026091090207.html,2026-09-10,민주당 의원 군 복무 이력 비판,1
강명구,"野 강명구 '비례 배지 반납법' 발의…""장관·의원 겸직, 정치적 탐욕""",news.tvchosun.com,https://news.tvchosun.com/site/data/html_dir/2026/09/10/2026091090168.html,2026-09-10,비례 배지 반납법 대표 발의,1
강명구,"강명구 국회의원, '비례대표 배지 반납법' 대표 발의",srn.hcn.co.kr,https://srn.hcn.co.kr/user/news/BD_newsView.do?news_category=01&story_id=NS2026091000055&story_seq=0&soCode=114&socttSn=NS2026091000055&socttSeq=0,2026-09-10,비례대표 배지 반납법 대표 발의,1
강명구,"강명구 국회의원, ""최근 5년 비위 징계 경찰 2천8백여 명…성범죄·음주...",srn.hcn.co.kr,https://srn.hcn.co.kr/user/news/BD_newsView.do?news_category=01&story_id=NS2026091000039&story_seq=0&soCode=114&socttSn=NS2026091000039&socttSeq=0,2026-09-10,경찰 징계 현황 공개 및 조직 쇄신 촉구,1
강명구,"용혜인 ""인사청문회 열어 검증해달라""",incheonilbo.com,https://www.incheonilbo.com/news/articleView.html?idxno=1331723,2026-09-10,비례대표 장관 겸직 방지법 대표발의,1
강명구,장관 임명 시 비례대표 의원직 자동 퇴직 추진,hidomin.com,https://www.hidomin.com/news/articleView.html?idxno=720639,2026-09-10,비례대표 장관 임명 시 자동 의원직 퇴직 추진,1
강명구,강명구 ‘제2 용혜인 막자’ 장관·의원 겸직 방지법 발의,kbmaeil.com,https://www.kbmaeil.com/article/20260910500424,2026-09-10,장관·의원 겸직 방지법 대표발의,1
강명구,"강명구 의원, 비례대표 장관 임명 시 자동 의원직 상실 법안 발의",breaknews.com,http://www.breaknews.com/1235748,2026-09-10,비례대표 장관 임명 시 자동 의원직 상실 법안 발의,1
강명구,"강명구 의원, '공직선거법 개정안' 대표발의",pennmike.com,https://www.pennmike.com/news/articleView.html?idxno=127527,2026-09-10,비례 뱃지 반납법 공직선거법 개정안 대표발의,1
강명구,"국민의힘, '용혜인 방지법' 발의",goodmorningcc.com,https://www.goodmorningcc.com/news/articleView.html?idxno=452143,2026-09-10,비례대표 장관 겸직 방지법 발의,1
강민국,"실버존 과속·불법 주차…강민국 “김성수 대법관 후보자, 5년간 교통법...",biz.heraldcorp.com,https://biz.heraldcorp.com/article/10869429?ref=naver,2026-09-10,김성수 대법관 후보자 도로교통법 위반 내역 공개,1
강선영,"한 총리 ""호르무즈 기여 방안, 결정된 바 없어…여러 시나리오 검토""(종...",newsis.com,https://www.newsis.com/view/NISX20260910_0003784934,2026-09-10,전작권 환수 문제 질의,1
강선영,"한 총리 ""군대 안 갔다고 애국심 없는 것 아냐""",ytn.co.kr,https://www.ytn.co.kr/_ln/0101_202609101813588165,2026-09-10,대정부질문서 주적 및 군 복무 관련 지적,1
강선영,"안보 현안 산적한데 장관은 해외로…안규백 출장에 野 ""불출석 유감""",ajunews.com,https://www.ajunews.com/view/20260910165522649,2026-09-10,북한군 MDL 침범 관련 군 경계태세 질의,1
강명구,"194억 경찰 바디캠 사업, '중국산 라벨갈이' 의혹 수사",kyongbuk.co.kr,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4083796,2026-09-10,경찰 바디캠 사업 중국산 의혹 수사 의뢰,1
강선영,"정동영 “北단절 7년, 북미회담 역사적 전환”",joongang.co.kr,https://www.joongang.co.kr/article/25460827,2026-09-10,대정부질문서 주적 및 전작권 질의,1
강선영,"""파병 결정된 바 없다"" 선 그었지만…정부, 트럼프 불만에 '호르무즈 딜...",hankookilbo.com,https://www.hankookilbo.com/news/article/A2026091017000002903?did=NA,2026-09-10,대정부질문서 정부 안보관 비판,1
