수집일자,분야,대표이슈,제목,언론사,AI요약,논조,기사링크
2026-07-20 07:39,공정위/정책,'부당환급·먹튀 방지'… 요가·필라테스 표준약관 첫 제정,'부당환급·먹튀 방지'… 요가·필라테스 표준약관 첫 제정,언론사 미상,'부당환급·먹튀 방지'… 요가·필라테스 표준약관 첫 제정,중립,https://www.ggilbo.com/news/articleView.html?idxno=1170222
2026-07-20 07:39,공정위/정책,"삼성·닉스에 비싼 부품값 떠넘겼나…검찰, 외국 3사 담합 수사 '속도전...","삼성·닉스에 비싼 부품값 떠넘겼나…검찰, 외국 3사 담합 수사 '속도전...",언론사 미상,"삼성·닉스에 비싼 부품값 떠넘겼나…검찰, 외국 3사 담합 수사 '속도전...",중립,https://www.mt.co.kr/society/2026/07/20/2026072013232873740
2026-07-20 07:39,공정위/정책,"공정위 제지사에 솜방망이 과징금… 지역 인쇄업계 ""상식적으로 이해할...","공정위 제지사에 솜방망이 과징금… 지역 인쇄업계 ""상식적으로 이해할...",언론사 미상,"공정위 제지사에 솜방망이 과징금… 지역 인쇄업계 ""상식적으로 이해할...",중립,https://www.joongdo.co.kr/web/view.php?key=20260720010005688
2026-07-20 07:39,공정위/정책,"정부·홈쇼핑·중소기업 ""홈쇼핑 상생협력"" 공동선언","정부·홈쇼핑·중소기업 ""홈쇼핑 상생협력"" 공동선언",언론사 미상,"정부·홈쇼핑·중소기업 ""홈쇼핑 상생협력"" 공동선언",중립,https://news.jtbc.co.kr/article/NB12309182?influxDiv=NAVER
2026-07-20 07:39,공정위/정책,"대보마그네틱, 하도급법 위반 적발...서면 미발급에 과징금 3200만원","대보마그네틱, 하도급법 위반 적발...서면 미발급에 과징금 3200만원",언론사 미상,"대보마그네틱, 하도급법 위반 적발...서면 미발급에 과징금 3200만원",중립,http://www.newslock.co.kr/news/articleView.html?idxno=133161
2026-07-20 07:39,공정위/정책,'먹튀' 막는다…요가·필라테스 표준약관 첫 제정,'먹튀' 막는다…요가·필라테스 표준약관 첫 제정,언론사 미상,'먹튀' 막는다…요가·필라테스 표준약관 첫 제정,중립,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=899590
2026-07-20 07:39,공정위/정책,"공정위 처분 취소로 8,714억 환급… 박상웅 ""취소 처분 반드시 재검토""","공정위 처분 취소로 8,714억 환급… 박상웅 ""취소 처분 반드시 재검토""",언론사 미상,"공정위 처분 취소로 8,714억 환급… 박상웅 ""취소 처분 반드시 재검토""",중립,https://www.gukjenews.com/news/articleView.html?idxno=3640650
2026-07-20 07:39,공정위/정책,"정부·홈쇼핑·중소기업, 상생협력 약속···""성장 플랫폼 추진""","정부·홈쇼핑·중소기업, 상생협력 약속···""성장 플랫폼 추진""",언론사 미상,"정부·홈쇼핑·중소기업, 상생협력 약속···""성장 플랫폼 추진""",중립,http://www.enewstoday.co.kr/news/articleView.html?idxno=2450289
2026-07-20 07:39,공정위/정책,"필라테스 이용자 10명 중 1명, 폐업으로 돈 떼였다…""2주 전 고지 의무""","필라테스 이용자 10명 중 1명, 폐업으로 돈 떼였다…""2주 전 고지 의무""",언론사 미상,"필라테스 이용자 10명 중 1명, 폐업으로 돈 떼였다…""2주 전 고지 의무""",중립,https://news.jtbc.co.kr/article/NB12309178?influxDiv=NAVER
2026-07-20 07:39,공정위/정책,"공정위, '요가·필라테스 표준약관' 제정... 위약금 10%·실제 결제액 기...","공정위, '요가·필라테스 표준약관' 제정... 위약금 10%·실제 결제액 기...",언론사 미상,"공정위, '요가·필라테스 표준약관' 제정... 위약금 10%·실제 결제액 기...",중립,https://www.pointe.co.kr/news/articleView.html?idxno=82004
